Date,Time,At,Opponent,Location,Tournament,Result
2019-08-16,7:00 PM,Home,Iowa (ex),"Ann Arbor, Mich.",,L 0-1
2019-08-22,7:30 PM,Home,Marshall,"Ann Arbor, Mich.",,W 5-0
2019-08-25,2:00 PM,Home,Utah Valley,"Ann Arbor, Mich.",,W 2-1
2019-08-30,5:00 PM,Home,Florida Gulf Coast,"Ann Arbor, Mich.",,W 2-0
2019-09-01,2:30 PM CT,Away,Marquette,"Milwaukee, Wis.",,L 0-1
2019-09-06,7:30 PM,Home,Notre Dame,"Ann Arbor, Mich.",,L 0-1
2019-09-08,2:00 PM,Home,Bowling Green,"Ann Arbor, Mich.",,W 2-0
2019-09-13,7:00 PM PT,Away,Washington State,"Pullman, Wash.",,W 2-1
2019-09-19,6:00 PM,Away,Penn State,"State College, Pa.",,W 1-0
2019-09-22,2:00 PM,Away,Ohio State,"Columbus, Ohio",,W 2-1
2019-09-27,7:00 PM,Home,Purdue,"Ann Arbor, Mich.",,W 2-1
2019-09-29,1:00 PM,Home,Indiana,"Ann Arbor, Mich.",,T 0-0
2019-10-03,8:00 PM CT,Away,Wisconsin,"Madison, Wis.",,L 0-2
2019-10-06,1:00 PM,Home,Nebraska,"Ann Arbor, Mich.",,W 4-1
2019-10-11,7:00 PM CT,Away,Illinois,"Champaign, Ill.",,W 4-1
2019-10-13,1:00 PM CT,Away,Northwestern,"Evanston, Ill.",,W 2-1
2019-10-19,5:00 PM,Away,Michigan State,"East Lansing, Mich.",,W 3-2
2019-10-24,7:00 PM,Home,Rutgers,"Ann Arbor, Mich.",,L 0-1
2019-10-27,1:00 PM,Home,Maryland,"Ann Arbor, Mich.",,W 4-1
2019-11-03,1:00 PM,Home,Maryland,"Ann Arbor, Mich.",,W 3-0
2019-11-08,1:30 PM,Away,Rutgers,"Piscataway, N.J.",,W 2-1
2019-11-10,Noon,Neutral,Penn State,"Piscataway, N.J.",,L 1-2
2019-11-15,7:00 PM,Home,Bowling Green,"Ann Arbor, Mich.",,W 2-1
2019-11-22,3:00 PM,Neutral,Texas Tech,"Chapel Hill, N.C.",,W 3-2
2019-11-24,1:00 PM,Away,North Carolina,"Chapel Hill, N.C.",,L 0-4
